Set;instance;Seed;LRCSize;MaxHCIterations;TimeLimit[s];BestFO;
2;BEP-1-2-2-2-i1;4;0.1;20;30;46;
2;BEP-1-2-2-2-i1;4;0.1;50;30;46;
2;BEP-1-2-2-2-i1;4;0.1;100;30;46;
2;BEP-1-2-2-2-i1;4;0.3;20;30;46;
2;BEP-1-2-2-2-i1;4;0.3;50;30;46;
2;BEP-1-2-2-2-i1;4;0.3;100;30;46;
2;BEP-1-2-2-2-i1;4;0.5;20;30;46;
2;BEP-1-2-2-2-i1;4;0.5;50;30;46;
2;BEP-1-2-2-2-i1;4;0.5;100;30;46;
2;BEP-1-2-2-2-i1;6;0.1;20;30;46;
2;BEP-1-2-2-2-i1;6;0.1;50;30;46;
2;BEP-1-2-2-2-i1;6;0.1;100;30;46;
2;BEP-1-2-2-2-i1;6;0.3;20;30;46;
2;BEP-1-2-2-2-i1;6;0.3;50;30;46;
2;BEP-1-2-2-2-i1;6;0.3;100;30;46;
2;BEP-1-2-2-2-i1;6;0.5;20;30;46;
2;BEP-1-2-2-2-i1;6;0.5;50;30;46;
2;BEP-1-2-2-2-i1;6;0.5;100;30;46;
2;BEP-1-2-2-2-i1;8;0.1;20;30;46;
2;BEP-1-2-2-2-i1;8;0.1;50;30;46;
2;BEP-1-2-2-2-i1;8;0.1;100;30;46;
2;BEP-1-2-2-2-i1;8;0.3;20;30;46;
2;BEP-1-2-2-2-i1;8;0.3;50;30;46;
2;BEP-1-2-2-2-i1;8;0.3;100;30;46;
2;BEP-1-2-2-2-i1;8;0.5;20;30;46;
2;BEP-1-2-2-2-i1;8;0.5;50;30;46;
2;BEP-1-2-2-2-i1;8;0.5;100;30;46;
2;BEP-1-2-2-2-i1;10;0.1;20;30;46;
2;BEP-1-2-2-2-i1;10;0.1;50;30;46;
2;BEP-1-2-2-2-i1;10;0.1;100;30;46;
2;BEP-1-2-2-2-i1;10;0.3;20;30;46;
2;BEP-1-2-2-2-i1;10;0.3;50;30;46;
2;BEP-1-2-2-2-i1;10;0.3;100;30;46;
2;BEP-1-2-2-2-i1;10;0.5;20;30;46;
2;BEP-1-2-2-2-i1;10;0.5;50;30;46;
2;BEP-1-2-2-2-i1;10;0.5;100;30;46;
2;BEP-1-2-2-2-i2;4;0.1;20;30;13;
2;BEP-1-2-2-2-i2;4;0.1;50;30;13;
2;BEP-1-2-2-2-i2;4;0.1;100;30;13;
2;BEP-1-2-2-2-i2;4;0.3;20;30;13;
2;BEP-1-2-2-2-i2;4;0.3;50;30;13;
2;BEP-1-2-2-2-i2;4;0.3;100;30;13;
2;BEP-1-2-2-2-i2;4;0.5;20;30;13;
2;BEP-1-2-2-2-i2;4;0.5;50;30;13;
2;BEP-1-2-2-2-i2;4;0.5;100;30;13;
2;BEP-1-2-2-2-i2;6;0.1;20;30;13;
2;BEP-1-2-2-2-i2;6;0.1;50;30;13;
2;BEP-1-2-2-2-i2;6;0.1;100;30;13;
2;BEP-1-2-2-2-i2;6;0.3;20;30;13;
2;BEP-1-2-2-2-i2;6;0.3;50;30;13;
2;BEP-1-2-2-2-i2;6;0.3;100;30;13;
2;BEP-1-2-2-2-i2;6;0.5;20;30;13;
2;BEP-1-2-2-2-i2;6;0.5;50;30;13;
2;BEP-1-2-2-2-i2;6;0.5;100;30;13;
2;BEP-1-2-2-2-i2;8;0.1;20;30;13;
2;BEP-1-2-2-2-i2;8;0.1;50;30;13;
2;BEP-1-2-2-2-i2;8;0.1;100;30;13;
2;BEP-1-2-2-2-i2;8;0.3;20;30;13;
2;BEP-1-2-2-2-i2;8;0.3;50;30;13;
2;BEP-1-2-2-2-i2;8;0.3;100;30;13;
2;BEP-1-2-2-2-i2;8;0.5;20;30;13;
2;BEP-1-2-2-2-i2;8;0.5;50;30;13;
2;BEP-1-2-2-2-i2;8;0.5;100;30;13;
2;BEP-1-2-2-2-i2;10;0.1;20;30;13;
2;BEP-1-2-2-2-i2;10;0.1;50;30;13;
2;BEP-1-2-2-2-i2;10;0.1;100;30;13;
2;BEP-1-2-2-2-i2;10;0.3;20;30;13;
2;BEP-1-2-2-2-i2;10;0.3;50;30;13;
2;BEP-1-2-2-2-i2;10;0.3;100;30;13;
2;BEP-1-2-2-2-i2;10;0.5;20;30;13;
2;BEP-1-2-2-2-i2;10;0.5;50;30;13;
2;BEP-1-2-2-2-i2;10;0.5;100;30;13;
2;BEP-1-2-2-2-i3;4;0.1;20;30;9;
2;BEP-1-2-2-2-i3;4;0.1;50;30;9;
2;BEP-1-2-2-2-i3;4;0.1;100;30;9;
2;BEP-1-2-2-2-i3;4;0.3;20;30;9;
2;BEP-1-2-2-2-i3;4;0.3;50;30;9;
2;BEP-1-2-2-2-i3;4;0.3;100;30;9;
2;BEP-1-2-2-2-i3;4;0.5;20;30;9;
2;BEP-1-2-2-2-i3;4;0.5;50;30;9;
2;BEP-1-2-2-2-i3;4;0.5;100;30;9;
2;BEP-1-2-2-2-i3;6;0.1;20;30;9;
2;BEP-1-2-2-2-i3;6;0.1;50;30;9;
2;BEP-1-2-2-2-i3;6;0.1;100;30;9;
2;BEP-1-2-2-2-i3;6;0.3;20;30;9;
2;BEP-1-2-2-2-i3;6;0.3;50;30;9;
2;BEP-1-2-2-2-i3;6;0.3;100;30;9;
2;BEP-1-2-2-2-i3;6;0.5;20;30;9;
2;BEP-1-2-2-2-i3;6;0.5;50;30;9;
2;BEP-1-2-2-2-i3;6;0.5;100;30;9;
2;BEP-1-2-2-2-i3;8;0.1;20;30;9;
2;BEP-1-2-2-2-i3;8;0.1;50;30;9;
2;BEP-1-2-2-2-i3;8;0.1;100;30;9;
2;BEP-1-2-2-2-i3;8;0.3;20;30;9;
2;BEP-1-2-2-2-i3;8;0.3;50;30;9;
2;BEP-1-2-2-2-i3;8;0.3;100;30;9;
2;BEP-1-2-2-2-i3;8;0.5;20;30;9;
2;BEP-1-2-2-2-i3;8;0.5;50;30;9;
2;BEP-1-2-2-2-i3;8;0.5;100;30;9;
2;BEP-1-2-2-2-i3;10;0.1;20;30;9;
2;BEP-1-2-2-2-i3;10;0.1;50;30;9;
2;BEP-1-2-2-2-i3;10;0.1;100;30;9;
2;BEP-1-2-2-2-i3;10;0.3;20;30;9;
2;BEP-1-2-2-2-i3;10;0.3;50;30;9;
2;BEP-1-2-2-2-i3;10;0.3;100;30;9;
2;BEP-1-2-2-2-i3;10;0.5;20;30;9;
2;BEP-1-2-2-2-i3;10;0.5;50;30;9;
2;BEP-1-2-2-2-i3;10;0.5;100;30;9;
2;BEP-1-2-2-2-i4;4;0.1;20;30;44;
2;BEP-1-2-2-2-i4;4;0.1;50;30;44;
2;BEP-1-2-2-2-i4;4;0.1;100;30;44;
2;BEP-1-2-2-2-i4;4;0.3;20;30;44;
2;BEP-1-2-2-2-i4;4;0.3;50;30;44;
2;BEP-1-2-2-2-i4;4;0.3;100;30;44;
2;BEP-1-2-2-2-i4;4;0.5;20;30;44;
2;BEP-1-2-2-2-i4;4;0.5;50;30;44;
2;BEP-1-2-2-2-i4;4;0.5;100;30;44;
2;BEP-1-2-2-2-i4;6;0.1;20;30;44;
2;BEP-1-2-2-2-i4;6;0.1;50;30;44;
2;BEP-1-2-2-2-i4;6;0.1;100;30;44;
2;BEP-1-2-2-2-i4;6;0.3;20;30;44;
2;BEP-1-2-2-2-i4;6;0.3;50;30;44;
2;BEP-1-2-2-2-i4;6;0.3;100;30;44;
2;BEP-1-2-2-2-i4;6;0.5;20;30;44;
2;BEP-1-2-2-2-i4;6;0.5;50;30;44;
2;BEP-1-2-2-2-i4;6;0.5;100;30;44;
2;BEP-1-2-2-2-i4;8;0.1;20;30;44;
2;BEP-1-2-2-2-i4;8;0.1;50;30;44;
2;BEP-1-2-2-2-i4;8;0.1;100;30;44;
2;BEP-1-2-2-2-i4;8;0.3;20;30;44;
2;BEP-1-2-2-2-i4;8;0.3;50;30;44;
2;BEP-1-2-2-2-i4;8;0.3;100;30;44;
2;BEP-1-2-2-2-i4;8;0.5;20;30;44;
2;BEP-1-2-2-2-i4;8;0.5;50;30;44;
2;BEP-1-2-2-2-i4;8;0.5;100;30;44;
2;BEP-1-2-2-2-i4;10;0.1;20;30;44;
2;BEP-1-2-2-2-i4;10;0.1;50;30;44;
2;BEP-1-2-2-2-i4;10;0.1;100;30;44;
2;BEP-1-2-2-2-i4;10;0.3;20;30;44;
2;BEP-1-2-2-2-i4;10;0.3;50;30;44;
2;BEP-1-2-2-2-i4;10;0.3;100;30;44;
2;BEP-1-2-2-2-i4;10;0.5;20;30;44;
2;BEP-1-2-2-2-i4;10;0.5;50;30;44;
2;BEP-1-2-2-2-i4;10;0.5;100;30;44;
2;BEP-1-2-2-2-i5;4;0.1;20;30;29;
2;BEP-1-2-2-2-i5;4;0.1;50;30;29;
2;BEP-1-2-2-2-i5;4;0.1;100;30;29;
2;BEP-1-2-2-2-i5;4;0.3;20;30;29;
2;BEP-1-2-2-2-i5;4;0.3;50;30;29;
2;BEP-1-2-2-2-i5;4;0.3;100;30;29;
2;BEP-1-2-2-2-i5;4;0.5;20;30;29;
2;BEP-1-2-2-2-i5;4;0.5;50;30;29;
2;BEP-1-2-2-2-i5;4;0.5;100;30;29;
2;BEP-1-2-2-2-i5;6;0.1;20;30;29;
2;BEP-1-2-2-2-i5;6;0.1;50;30;29;
2;BEP-1-2-2-2-i5;6;0.1;100;30;29;
2;BEP-1-2-2-2-i5;6;0.3;20;30;29;
2;BEP-1-2-2-2-i5;6;0.3;50;30;29;
2;BEP-1-2-2-2-i5;6;0.3;100;30;29;
2;BEP-1-2-2-2-i5;6;0.5;20;30;29;
2;BEP-1-2-2-2-i5;6;0.5;50;30;29;
2;BEP-1-2-2-2-i5;6;0.5;100;30;29;
2;BEP-1-2-2-2-i5;8;0.1;20;30;29;
2;BEP-1-2-2-2-i5;8;0.1;50;30;29;
2;BEP-1-2-2-2-i5;8;0.1;100;30;29;
2;BEP-1-2-2-2-i5;8;0.3;20;30;29;
2;BEP-1-2-2-2-i5;8;0.3;50;30;29;
2;BEP-1-2-2-2-i5;8;0.3;100;30;29;
2;BEP-1-2-2-2-i5;8;0.5;20;30;29;
2;BEP-1-2-2-2-i5;8;0.5;50;30;29;
2;BEP-1-2-2-2-i5;8;0.5;100;30;29;
2;BEP-1-2-2-2-i5;10;0.1;20;30;29;
2;BEP-1-2-2-2-i5;10;0.1;50;30;29;
2;BEP-1-2-2-2-i5;10;0.1;100;30;29;
2;BEP-1-2-2-2-i5;10;0.3;20;30;29;
2;BEP-1-2-2-2-i5;10;0.3;50;30;29;
2;BEP-1-2-2-2-i5;10;0.3;100;30;29;
2;BEP-1-2-2-2-i5;10;0.5;20;30;29;
2;BEP-1-2-2-2-i5;10;0.5;50;30;29;
2;BEP-1-2-2-2-i5;10;0.5;100;30;29;
2;BEP-1-2-2-2-i6;4;0.1;20;30;44;
2;BEP-1-2-2-2-i6;4;0.1;50;30;44;
2;BEP-1-2-2-2-i6;4;0.1;100;30;44;
2;BEP-1-2-2-2-i6;4;0.3;20;30;44;
2;BEP-1-2-2-2-i6;4;0.3;50;30;44;
2;BEP-1-2-2-2-i6;4;0.3;100;30;44;
2;BEP-1-2-2-2-i6;4;0.5;20;30;44;
2;BEP-1-2-2-2-i6;4;0.5;50;30;44;
2;BEP-1-2-2-2-i6;4;0.5;100;30;44;
2;BEP-1-2-2-2-i6;6;0.1;20;30;44;
2;BEP-1-2-2-2-i6;6;0.1;50;30;44;
2;BEP-1-2-2-2-i6;6;0.1;100;30;44;
2;BEP-1-2-2-2-i6;6;0.3;20;30;44;
2;BEP-1-2-2-2-i6;6;0.3;50;30;44;
2;BEP-1-2-2-2-i6;6;0.3;100;30;44;
2;BEP-1-2-2-2-i6;6;0.5;20;30;44;
2;BEP-1-2-2-2-i6;6;0.5;50;30;44;
2;BEP-1-2-2-2-i6;6;0.5;100;30;44;
2;BEP-1-2-2-2-i6;8;0.1;20;30;44;
2;BEP-1-2-2-2-i6;8;0.1;50;30;44;
